
 num     #instances         #bytes  class name
 175:          1053          25272  com.sun.org.apache.xerces.internal.util.PropertyState
 176:          1045          25080  com.sun.org.apache.xerces.internal.util.FeatureState
 177:           391          25024  java.util.jar.JarFile
 178:           347          24984  java.util.logging.Logger
 179:           768          24576  org.springframework.web.servlet.mvc.condition.PatternsRequestCondition
 180:           768          24576  org.springframework.web.servlet.mvc.condition.ProducesRequestCondition$ProduceMediaTypeExpression
 181:           352          24504  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
 182:           975          23400  org.springframework.beans.factory.annotation.InjectionMetadata
 183:           726          23232  org.hibernate.loader.entity.plan.EntityLoader$Builder
 184:           726          23232  org.hibernate.loader.plan.build.internal.LoadPlanImpl
 185:           726          23232  org.hibernate.loader.plan.build.internal.returns.EntityReturnImpl
 186:           726          23232  org.hibernate.loader.plan.build.internal.spaces.QuerySpacesImpl
 187:           726          23232  org.hibernate.loader.plan.exec.internal.EntityLoadQueryDetails$EntityLoaderReaderCollectorImpl
 188:           726          23232  org.hibernate.loader.plan.exec.internal.EntityLoadQueryDetails$EntityLoaderRowReader
 189:           724          23168  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 190:           961          23064  sun.reflect.generics.tree.FormalTypeParameter
 191:           320          23040  org.hibernate.mapping.Column
 192:           716          22912  javax.management.MBeanAttributeInfo
 193:           409          22904  org.springframework.core.type.classreading.MethodMetadataReadingVisitor
 194:           570          22800  org.hibernate.tuple.entity.EntityBasedBasicAttribute
 195:           937          22488  sun.misc.ProxyGenerator$ConstantPool$IndirectEntry
 196:           937          22488  sun.reflect.NativeConstructorAccessorImpl
 197:           691          22112  java.util.Vector
 198:          1358          21728  org.hibernate.annotations.common.reflection.java.JavaAnnotationReader
 199:           541          21640  java.security.ProtectionDomain
 200:           879          21096  org.springframework.http.MediaType
 201:           292          21024  java.util.regex.Pattern
 202:           640          20480  org.hibernate.annotations.common.reflection.java.JavaXProperty
 203:           640          20480  org.hibernate.annotations.common.reflection.java.JavaXSimpleType
 204:           319          20416  org.hibernate.mapping.SimpleValue
 205:          1272          20352  com.sun.proxy.$Proxy66
 206:           281          20232  sun.reflect.DelegatingClassLoader
 207:           336          19904  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
 208:           622          19904  sun.reflect.generics.reflectiveObjects.WildcardTypeImpl
 209:            99          19800  com.sun.org.apache.xerces.internal.impl.dv.xs.XSSimpleTypeDecl
 210:          1233          19728  java.util.HashMap$Values
 211:           352          19712  cn.nubia.framework.validator.internal.util.ConcurrentReferenceHashMap$Segment
 212:           154          19712  org.aspectj.weaver.reflect.ReflectionBasedResolvedMemberImpl
 213:           128          19456  [Lorg.hibernate.internal.util.collections.BoundedConcurrentHashMap$HashEntry;
 214:           128          19456  [Lorg.hibernate.internal.util.collections.BoundedConcurrentHashMap$HashEntry;
 215:           481          19240  cn.nubia.framework.validator.internal.metadata.aggregated.ParameterMetaData
 216:           398          19104  java.beans.BeanDescriptor
 217:           477          19080  org.apache.tomcat.util.digester.CallParamRule
 218:           395          18960  org.springframework.core.ResolvableType
 219:           591          18912  java.security.CodeSource
 220:           463          18520  org.apache.tomcat.util.descriptor.tld.TldRuleSet$Attribute
 221:           768          18432  org.springframework.web.servlet.mvc.condition.ProducesRequestCondition
 222:           574          18368  org.hibernate.tuple.BaselineAttributeInformation
 223:            33          18216  org.hibernate.persister.entity.SingleTableEntityPersister
 224:           322          18032  org.springframework.context.annotation.CommonAnnotationBeanPostProcessor$ResourceElement
 225:           321          17976  org.hibernate.mapping.Property
